_id,Title,URL,Provider,Cost,Public/DOD,Time Commitment (Hours),Certificate/Degree Program,Data Topic Area,Programming Language,Base of Operations,Barrier to Entry,Self Paced vs Instructor Led,Learning type,In person vs Remote,Comment,Helpfullness Rating,vote,voteCount
60dcc2b1681e780fe958cd98,What is NLP -  An Introductory Tutorial to Natural Language Processing ,https://www.simplilearn.com/tutorials/artificial-intelligence-tutorial/what-is-natural-language-processing-nlp,Simplilearn ,0,Public,<1,No,"Data Science, Natural Language Processing",,Online,Beginner,Self Paced,Video,Remote,,0,0,2
60dcc2b1681e780fe958cd99,LabVIEW Core 1 Overview,https://www.ni.com/en-us/shop/services/education-services/customer-education-courses/labview-core-1-course-overview.html,National Instruments,500,Public,15,No,"Data Science, Data Science, Programming Basics",LabVIEW,United States,Beginner,Self Paced,"Video, Interactive",Remote,Helps to prepare for taking a Certified LabVIEW Associate Developer certification exam.,0,0,0
60dcc2b1681e780fe958cd9a,Real-time Signal Processing and Analysis on Measurement Data,https://www.youtube.com/watch?v=xMWIATas_e0,youtube,0,Public,<1,No,"Data Science, Data Analytics, Programming Basics",LabVIEW,United States,Intermediate,Self Paced,Video,Remote,,0,0,1
60dcc2b1681e780fe958cd9b,A Deep Introduction to Julia for Data Science and Scientific Computing¶,https://ucidatascienceinitiative.github.io/IntroToJulia/,UC Irvine,0,Public,,No,"Data Science, Data Analytics, Data Science, Programming Basics",Julia,United States,Intermediate,Self Paced,"Text, Interactive",Remote,"Intended for people with experience in an older language like Matlab, python, or R.",0,0,0
60dcc2b1681e780fe958cd9d,Working with Data and APIs in JavaScript,http://www.youtube.com/playlist?list=PLRqwX-V7Uu6YxDKpFzf_2D84p0cyk4T7X,YouTube,0,Public,4.6,No,"Data Science, Programming Basics",Javascript,United States,Intermediate,Self-paced,Video,Remote,"This course is for aspiring developers who want to learn how to work with data in web applications. How do you retrieve, collect, and store data? The course ...",0,0,0
60dcc2b1681e780fe958cd9e,Introducing Data Science,https://www.manning.com/books/introducing-data-science,Manning Publications,49,Public,,No,"Data Science, Tutorial",Python,Remote,Intermediate,Self-paced,Book,Remote,"Read this book if you want to get a quick overview of data science, with lots of examples to get you started!",0,0,0
60dcc2b1681e780fe958cd9f,Data Science with Python and Dask,https://www.manning.com/books/data-science-with-python-and-dask,Manning Publications,49,Public,,No,"Data Science, Tutorial",Python,Remote,Advanced,Self-paced,Book,Remote,"The most comprehensive coverage of Dask to date, with real-world examples that made a difference in my daily work.",0,0,0
60dcc2b1681e780fe958cda0,Python for Data Science,http://www.youtube.com/playlist?list=PL2-dafEMk2A6QKz1mrk1uIGfHkC1zZ6UU,YouTube,0,Public,2,No,"Data Science, Tutorial, Data Analysis",Python,Remote,Intermediate,Self-paced,Video,Remote,,0,0,0
60dcc2b1681e780fe958cda1,Python Data Science Course & Training,https://intellipaat.com/python-for-data-science-training/,IntelliPaat,281,Public,40,No,"Data Science, Tutorial, Data Analysis",Python,India,Beginner,Instructor Led,Interactive,Remote,,0,0,0
60dcc2b1681e780fe958cda2,Introducing Data Science,https://www.manning.com/books/introducing-data-science,Manning Publications,49,Public,,No,"Data Science, Tutorial, Data Science",Python,Remote,Intermediate,Self-paced,Book,Remote,"Read this book if you want to get a quick overview of data science, with lots of examples to get you started!",0,0,0
